 ,Layer,Module,Chip,Channel,Energy
0,1,78,3,28,0.525361
1,2,90,3,32,1.45656
2,2,90,3,38,1.06949
3,2,90,0,44,1.0786
4,2,90,3,44,8.75858
5,3,89,1,54,1.37081
6,3,89,1,56,5.85699
7,4,88,3,38,5.9483
8,4,88,3,18,10.4641
9,4,88,1,14,0.606083
10,5,77,1,44,2.74298
11,5,77,1,54,25.3989
12,6,85,2,34,1.16475
13,6,85,3,34,0.769523
14,6,85,3,36,45.4085
15,6,85,3,32,0.673006
16,6,85,3,38,25.5698
17,6,85,2,32,1.53056
18,7,84,2,36,1.25049
19,7,84,2,38,1.65879
20,7,84,1,44,1.08447
21,7,84,1,36,19.341
22,7,84,0,14,4.87759
23,7,84,1,38,5.16712
24,7,84,1,54,31.9346
25,7,84,1,52,3.47976
26,7,84,1,58,5.50319
27,8,32,2,34,0.675161
28,8,32,2,38,0.984895
29,8,32,3,34,2.1967
30,8,32,2,26,3.7477
31,8,32,3,36,39.4313
32,8,32,3,32,4.64247
33,8,32,2,28,1.54199
34,8,32,3,38,40.7081
35,8,32,3,52,2.68578
36,8,32,3,54,4.62733
37,8,32,3,46,0.654711
38,8,32,1,42,1.28515
39,8,32,1,40,3.0073
40,8,32,1,26,2.45162
41,9,69,2,36,1.6926
42,9,69,2,38,11.6069
43,9,69,1,44,5.63346
44,9,69,0,18,3.06027
45,9,69,2,32,1.43935
46,9,69,2,40,6.45872
47,9,69,1,36,11.7479
48,9,69,0,14,7.2375
49,9,69,2,48,2.10673
50,9,69,1,40,2.42041
51,9,69,1,38,8.47309
52,9,69,1,54,22.9764
53,9,69,0,8,3.65185
54,9,69,1,30,2.8138
55,9,69,1,42,2.0219
56,9,69,1,56,0.885443
57,9,69,1,52,13.6895
58,9,69,3,42,1.49541
59,9,69,2,26,0.717676
60,10,79,2,38,4.9535
61,10,79,3,34,8.87454
62,10,79,2,26,7.88911
63,10,79,3,32,17.4464
64,10,79,2,28,1.35834
65,10,79,3,38,10.4943
66,10,79,3,18,1.5134
67,10,79,2,20,1.12263
68,10,79,3,52,5.87338
69,10,79,3,54,14.8678
70,10,79,3,58,2.7977
71,10,79,3,62,0.796498
72,10,79,1,38,1.70154
73,10,79,1,40,1.83353
74,10,79,1,44,5.39559
75,10,79,0,26,0.853424
76,10,79,2,44,6.72407
77,11,76,2,36,4.71108
78,11,76,0,24,3.19551
79,11,76,2,30,1.07215
80,11,76,2,34,5.02543
81,11,76,2,38,14.7803
82,11,76,2,32,6.0263
83,11,76,2,40,4.77975
84,11,76,1,36,3.67442
85,11,76,0,14,7.07082
86,11,76,1,54,12.1042
87,11,76,1,56,2.47278
88,11,76,1,52,9.24106
89,11,76,1,12,4.21839
90,11,76,1,2,3.12474
91,11,76,1,0,7.84997
92,11,76,2,28,0.725431
93,11,76,3,36,1.19825
94,11,76,2,24,1.07494
95,12,83,0,24,1.21488
