,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Beam Energy,Particle
348,0.891741,1.26075,0.907552,1.23223,1.091,0.956051,3.02366,1.12999,1.20686,1.1352,0.991093,1.07994,0.974042,1.1353,0.765475,8.38112,0.795071,0.98145,15.9573,0.754897,1.93802,2.75818,1.37535,1.10091,3.13914,2.69144,3.63352,2.28552,5.69934,67.6451,48.7938,90.1232,18.4806,34.2713,67.4006,15.67,10.6094,1.07785,0.0,0.431397,L,pion
349,0.903499,1.01047,0.985667,1.29013,1.06003,0.938277,1.15491,0.996956,4.10549,0.893894,2.46823,5.31835,1.0763,1.40171,19.387,19.3283,47.3293,47.1234,89.1154,66.8245,69.555,70.0632,31.3595,20.9489,19.3498,25.3283,44.6682,24.1704,28.1496,8.41337,40.796,25.2512,6.30818,5.56333,7.57384,9.72143,3.18494,0.0,0.0,0.0,L,pion
350,1.10969,2.45164,1.3234,1.08802,1.35723,1.15705,0.688532,4.01793,1.17258,1.08876,0.999842,1.45599,0.859849,1.19125,1.65472,1.20251,0.996351,1.53929,3.62428,0.95943,1.03153,0.972718,1.09314,1.28635,2.10058,2.06199,3.14674,1.41101,2.61187,5.15717,2.35819,2.75376,6.00215,6.95324,10.2304,12.7692,7.93801,1.14493,2.64283,2.58751,L,pion
351,0.700833,0.763266,2.21994,0.954688,1.0145,11.0397,15.2054,17.2788,35.594,55.2229,98.1833,69.7953,108.894,74.6791,44.1824,29.1044,42.7936,33.788,34.3675,51.4631,28.9655,3.9114,32.7374,7.34436,4.90114,2.9123,3.85355,4.92829,1.58797,1.75845,3.26353,4.88107,6.57271,9.3736,6.70327,8.45225,25.0425,1.0436,0.0,0.0,L,pion
352,2.22123,2.32816,3.07555,8.66207,2.23799,4.44547,6.14785,15.1045,20.4372,14.5745,5.56741,17.3488,8.62752,24.5182,6.22298,6.34888,6.79489,40.7497,28.1244,43.8248,23.5444,19.7468,13.461,28.8217,21.9615,12.0656,24.2041,16.2465,7.92583,2.92597,3.80797,3.97547,16.2967,3.80834,5.56758,5.95941,5.89172,1.46508,0.0,0.0,L,pion
353,1.31704,1.5975,1.67122,2.5823,2.4794,0.0,1.09061,0.80152,1.55335,0.884609,0.654933,1.1724,1.11551,1.89172,1.24914,0.841141,1.28387,0.963335,0.982202,1.17422,0.983256,1.20791,0.920697,1.38881,2.07719,2.18412,18.9141,7.31061,64.7443,72.9204,50.0887,36.5105,52.2918,29.8405,14.4554,6.25697,2.99571,1.36514,0.0,0.0,L,pion
354,4.10715,2.23187,0.893538,2.68804,0.786025,1.0743,1.24579,1.40167,1.00387,5.27405,2.85082,1.12185,1.16132,1.16306,0.894007,1.24261,0.977926,0.721116,1.0522,1.10906,1.96035,1.03222,0.892082,1.57718,1.07771,1.04621,4.72756,2.62979,1.90998,6.01701,9.25967,4.99986,18.4147,33.5517,43.5937,78.4268,16.644,21.9431,16.4174,44.5203,L,pion
355,0.932758,2.51035,1.32466,3.04067,1.0427,1.11479,4.47401,1.40164,1.27748,1.49639,1.96342,6.60981,2.29777,1.08553,1.00504,1.32218,1.42273,0.803412,1.19697,1.26666,2.23972,0.968783,1.97553,0.917361,1.86479,2.09126,5.8178,4.25452,3.86747,6.41492,1.78676,1.67116,8.76418,2.79549,6.22148,15.3505,5.91225,2.8252,1.74887,0.905375,L,pion
356,0.839114,2.96293,1.13424,0.855148,1.34241,1.2187,2.49419,0.869184,0.951138,1.0737,1.40042,2.10127,1.23056,0.782941,2.57425,1.10797,1.02436,1.05099,2.66034,1.11557,3.92825,2.46935,1.80926,3.51906,8.32016,6.74481,9.66376,2.55533,3.60596,3.14885,1.5971,2.00489,15.0137,9.12034,12.2931,7.02876,4.1562,2.93596,1.42146,1.18706,L,pion
357,3.02882,8.07687,20.9181,31.3783,6.14128,7.1521,6.56259,2.50843,3.03137,5.81129,3.85672,6.81604,5.40923,3.52935,1.75714,1.4,2.88213,1.13483,14.2322,1.173,0.0,0.0,0.0,0.0,1.60461,0.0,4.3071,1.86678,8.28697,3.12023,4.26412,3.71019,13.8969,10.8097,8.29357,5.98495,6.1514,0.987154,0.0,0.0,L,pion
