 ,Layer,Module,Chip,Channel,Energy
0,1,78,2,30,0.789303
1,1,78,2,34,1.5589
2,1,78,2,32,65.6086
3,1,78,1,40,2.92199
4,1,78,1,10,2.45212
5,1,78,1,56,0.949499
6,1,78,2,44,3.38709
7,2,90,2,30,0.520665
8,2,90,2,34,1.33123
9,2,90,2,38,2.93156
10,2,90,2,0,0.695643
11,2,90,2,24,211.256
12,2,90,2,26,8.90836
13,2,90,2,6,9.49766
14,2,90,2,2,9.83623
15,2,90,2,22,7.10908
16,2,90,3,56,0.904687
17,2,90,1,36,1.66194
18,2,90,2,32,2.28304
19,2,90,0,46,2.52414
20,3,89,0,24,3.00707
21,3,89,0,22,4.15998
22,3,89,2,30,19.6733
23,3,89,2,34,22.5189
24,3,89,2,38,2.48224
25,3,89,2,46,18.5975
26,3,89,2,32,510.755
27,3,89,2,40,68.0977
28,3,89,1,36,0.583912
29,3,89,2,50,2.27858
30,3,89,2,48,1.51243
31,3,89,1,40,59.5108
32,3,89,1,38,8.93429
33,3,89,1,30,3.60861
34,3,89,1,10,8.49161
35,3,89,1,42,1.4753
36,3,89,0,12,7.91491
37,3,89,1,28,0.813879
38,3,89,1,6,1.77145
39,3,89,1,46,0.818632
40,3,89,2,22,7.12112
41,3,89,3,36,1.74867
42,3,89,3,34,4.30535
43,3,89,2,56,1.01437
44,3,89,2,24,10.5962
45,3,89,2,42,5.41592
46,3,89,2,52,6.12612
47,3,89,1,26,0.528368
48,3,89,2,44,9.03985
49,4,88,2,30,9.68108
50,4,88,2,34,23.8597
51,4,88,2,38,0.701501
52,4,88,2,0,13.5468
53,4,88,2,24,882.419
54,4,88,2,26,114.315
55,4,88,3,36,5.19909
56,4,88,2,2,14.2311
57,4,88,2,22,74.2746
58,4,88,2,28,11.6914
59,4,88,3,38,5.1986
60,4,88,3,18,1.3362
61,4,88,2,10,1.16809
62,4,88,2,18,3.16129
63,4,88,2,20,4.73072
64,4,88,3,42,5.64662
65,4,88,3,52,7.26414
66,4,88,3,22,0.854569
67,4,88,2,8,0.611471
68,4,88,3,40,3.76679
69,4,88,3,44,0.910817
70,4,88,3,46,6.93347
71,4,88,3,50,1.29176
