 ,Layer,Module,Chip,Channel,Energy
72,4,88,3,58,2.2286
73,4,88,1,20,5.27809
74,4,88,1,32,1.5489
75,4,88,1,38,1.14161
76,4,88,0,14,2.59565
77,4,88,2,50,4.07277
78,4,88,1,40,0.666954
79,4,88,1,36,7.09315
80,4,88,2,32,5.28835
81,4,88,2,40,3.42317
82,4,88,3,48,5.4087
83,4,88,1,34,1.87767
84,4,88,2,44,6.11512
85,5,77,0,24,1.7275
86,5,77,0,40,2.33609
87,5,77,2,58,6.47623
88,5,77,2,30,50.6034
89,5,77,2,34,176.25
90,5,77,2,38,30.4158
91,5,77,1,44,3.43524
92,5,77,2,54,5.08592
93,5,77,2,46,55.2138
94,5,77,2,32,1024.74
95,5,77,2,40,258.669
96,5,77,1,36,21.0021
97,5,77,2,48,11.4053
98,5,77,1,40,133.33
99,5,77,1,38,17.5575
100,5,77,1,32,3.67906
101,5,77,1,30,1.90208
102,5,77,1,10,20.6349
103,5,77,1,42,9.91279
104,5,77,1,56,11.5196
105,5,77,1,48,3.16056
106,5,77,1,28,7.04929
107,5,77,1,12,16.6764
108,5,77,1,24,1.05016
109,5,77,1,4,1.04135
110,5,77,3,46,4.488
111,5,77,3,50,2.31532
112,5,77,3,22,1.53398
113,5,77,3,18,3.6496
114,5,77,2,28,2.32678
115,5,77,3,36,2.62429
116,5,77,3,34,1.29007
117,5,77,2,24,7.82032
118,5,77,2,26,5.23154
119,5,77,2,42,8.58786
120,5,77,2,52,6.13808
121,5,77,1,22,0.936426
122,5,77,2,44,58.2805
123,6,85,0,24,8.76982
124,6,85,2,58,33.9089
125,6,85,2,30,36.9464
126,6,85,2,34,82.8429
127,6,85,2,38,44.4807
128,6,85,0,36,1.61587
129,6,85,2,56,6.79118
130,6,85,2,0,53.201
131,6,85,2,24,1399.51
132,6,85,2,26,270.237
133,6,85,3,36,16.7269
134,6,85,2,6,4.95911
135,6,85,2,4,21.3707
136,6,85,2,2,76.415
137,6,85,2,22,128.367
138,6,85,2,28,46.7798
139,6,85,3,38,3.46389
140,6,85,2,20,12.5496
141,6,85,3,42,21.2376
142,6,85,3,52,8.01353
143,6,85,3,54,1.98206
144,6,85,3,14,5.3759
145,6,85,2,14,2.9928
146,6,85,3,56,0.891957
147,6,85,3,46,2.09168
148,6,85,3,50,7.03461
149,6,85,3,58,3.33495
150,6,85,3,0,3.30953
151,6,85,3,6,6.68115
152,6,85,1,48,1.28962
153,6,85,1,12,0.749639
154,6,85,0,8,1.98107
155,6,85,1,30,1.83651
156,6,85,1,38,10.6569
157,6,85,1,54,5.32537
158,6,85,1,40,8.54714
159,6,85,1,36,1.26857
160,6,85,0,18,5.0804
161,6,85,0,20,1.01113
162,6,85,2,46,7.88802
163,6,85,2,32,10.9271
164,6,85,2,40,5.53152
165,6,85,2,52,11.0788
166,6,85,0,26,1.69269
167,7,84,2,36,1.79513
168,7,84,2,60,2.77048
169,7,84,2,58,7.96542
170,7,84,2,30,85.1624
171,7,84,2,34,179.112
172,7,84,2,38,51.1182
173,7,84,1,44,4.69262
174,7,84,0,20,2.45139
175,7,84,2,54,4.73412
176,7,84,2,46,90.9424
177,7,84,2,32,1293.82
178,7,84,2,40,416.339
179,7,84,1,36,48.711
180,7,84,0,14,0.958022
181,7,84,2,48,22.6516
182,7,84,1,40,319.655
183,7,84,1,38,49.8565
184,7,84,1,54,4.6896
185,7,84,0,8,2.77847
186,7,84,1,32,14.4659
187,7,84,1,30,25.8027
188,7,84,1,10,56.7062
189,7,84,1,42,32.5238
190,7,84,1,56,6.32813
191,7,84,1,52,1.81379
192,7,84,1,48,1.76359
193,7,84,1,28,1.06345
194,7,84,1,12,8.26912
195,7,84,1,6,5.42989
196,7,84,1,2,17.015
197,7,84,1,0,6.05635
198,7,84,1,46,2.37926
199,7,84,1,24,4.02634
200,7,84,1,58,1.69652
201,7,84,1,62,1.86818
202,7,84,1,8,2.05959
203,7,84,1,14,1.52626
204,7,84,3,46,3.22992
205,7,84,3,50,4.78482
206,7,84,3,58,1.98276
207,7,84,3,16,5.55085
208,7,84,3,22,2.00952
209,7,84,2,14,1.98038
210,7,84,3,42,1.85856
211,7,84,2,28,6.70766
212,7,84,3,38,1.40039
213,7,84,2,4,9.20605
214,7,84,2,2,8.44989
215,7,84,2,22,6.94502
216,7,84,3,36,14.5774
217,7,84,3,34,2.81891
218,7,84,2,56,8.28632
219,7,84,2,0,6.26268
220,7,84,2,24,14.7439
221,7,84,2,26,32.216
222,7,84,2,42,12.8202
223,7,84,2,52,16.9329
224,7,84,1,26,2.54206
225,7,84,1,60,1.30862
226,7,84,2,44,141.65
227,8,32,0,24,2.25343
228,8,32,0,22,0.795931
229,8,32,0,40,10.5357
230,8,32,2,58,21.24
231,8,32,2,30,52.2677
232,8,32,2,34,112.526
233,8,32,2,38,48.8171
234,8,32,3,34,9.50075
235,8,32,2,56,3.03974
236,8,32,2,0,43.9158
237,8,32,2,24,1193.99
238,8,32,2,26,269.695
239,8,32,3,36,32.4337
240,8,32,3,32,12.3014
241,8,32,0,32,4.88299
242,8,32,2,6,4.29007
243,8,32,2,4,3.79766
244,8,32,2,2,127.965
245,8,32,2,22,462.929
246,8,32,2,28,56.3424
247,8,32,3,38,15.3078
248,8,32,3,26,1.53031
249,8,32,2,18,7.8417
250,8,32,2,20,32.0579
251,8,32,3,42,9.92074
252,8,32,3,52,14.3306
253,8,32,3,54,5.65741
254,8,32,3,22,2.07029
255,8,32,2,8,13.6379
256,8,32,3,40,5.14802
257,8,32,3,44,10.1986
258,8,32,3,46,8.61589
259,8,32,3,50,2.12973
260,8,32,3,58,1.90655
261,8,32,3,0,2.79823
262,8,32,3,6,1.39981
263,8,32,3,62,10.883
264,8,32,1,42,1.3142
265,8,32,1,52,2.08772
266,8,32,1,30,4.76793
267,8,32,1,38,11.9359
268,8,32,0,14,3.20868
269,8,32,1,40,8.15016
270,8,32,1,36,2.13371
271,8,32,2,46,3.02244
272,8,32,2,32,13.2737
273,8,32,2,40,4.43319
274,8,32,2,42,5.36506
275,8,32,2,52,13.8893
276,8,32,0,26,1.44707
277,8,32,2,44,2.6115
278,9,69,2,36,10.2529
279,9,69,0,24,12.1284
280,9,69,0,38,5.62815
281,9,69,2,60,4.60178
282,9,69,2,58,23.015
283,9,69,2,30,112.866
284,9,69,2,34,188.342
285,9,69,2,38,45.247
286,9,69,1,44,20.6288
287,9,69,0,18,14.6025
288,9,69,2,46,91.5238
289,9,69,2,32,817.783
290,9,69,2,40,493.73
291,9,69,1,36,58.6429
292,9,69,0,14,17.0978
293,9,69,0,16,2.27758
294,9,69,2,50,6.32048
295,9,69,2,48,53.8251
296,9,69,1,40,448.676
297,9,69,1,38,136.335
298,9,69,1,54,26.2917
299,9,69,1,32,1.23164
300,9,69,1,30,10.0834
301,9,69,1,10,75.0813
302,9,69,1,42,32.9512
303,9,69,1,56,22.6476
304,9,69,1,52,1.49702
305,9,69,0,6,1.2556
306,9,69,1,28,13.9777
307,9,69,1,6,1.15243
308,9,69,1,2,9.99167
309,9,69,1,0,2.30625
310,9,69,1,46,7.08784
311,9,69,1,24,6.45614
312,9,69,1,20,10.4449
313,9,69,1,58,0.865964
314,9,69,1,18,1.81234
315,9,69,3,62,0.96149
316,9,69,3,46,5.1859
317,9,69,3,58,1.99493
318,9,69,3,0,1.1222
319,9,69,3,40,1.22548
320,9,69,3,44,1.05207
321,9,69,3,56,4.85239
322,9,69,3,16,0.740564
323,9,69,3,24,3.27161
324,9,69,3,22,1.96398
325,9,69,3,42,2.9493
326,9,69,3,18,2.34291
327,9,69,3,28,4.78309
328,9,69,2,18,2.31346
329,9,69,2,28,8.45498
330,9,69,3,38,4.8181
331,9,69,3,32,2.1677
332,9,69,2,2,9.57759
333,9,69,2,22,27.984
334,9,69,3,36,4.89833
335,9,69,3,34,3.08487
336,9,69,0,34,5.53871
337,9,69,2,0,5.43597
338,9,69,2,24,20.1223
339,9,69,2,26,33.4734
340,9,69,2,42,25.9719
341,9,69,2,52,23.6567
342,9,69,1,16,2.94665
343,9,69,2,44,143.577
344,10,79,2,36,5.9365
345,10,79,0,24,1.45339
346,10,79,0,22,2.82087
347,10,79,0,40,1.47237
348,10,79,2,58,9.31759
349,10,79,2,30,54.9768
350,10,79,2,34,88.923
351,10,79,2,38,31.1307
352,10,79,3,34,2.07142
353,10,79,0,34,2.31994
354,10,79,0,36,5.81884
355,10,79,2,0,38.7297
356,10,79,2,24,708.687
357,10,79,2,26,324.041
358,10,79,3,36,24.2238
359,10,79,3,32,9.76506
360,10,79,2,6,2.19188
361,10,79,2,4,5.38789
362,10,79,2,2,118.737
363,10,79,2,22,385.02
364,10,79,2,28,62.4233
365,10,79,3,38,10.9222
366,10,79,3,18,1.20717
367,10,79,3,26,0.680117
368,10,79,2,18,9.22031
369,10,79,2,20,32.7048
370,10,79,3,42,25.4213
371,10,79,3,52,12.3555
372,10,79,3,54,3.10313
373,10,79,3,22,1.52833
374,10,79,2,8,9.0979
375,10,79,3,40,5.34345
376,10,79,3,44,13.6673
377,10,79,3,56,11.0324
378,10,79,3,16,6.42398
379,10,79,3,46,1.15068
380,10,79,3,50,2.6164
381,10,79,3,6,7.70814
382,10,79,3,62,5.70045
383,10,79,1,2,2.04132
384,10,79,1,48,1.33927
385,10,79,1,42,8.97129
386,10,79,1,52,2.06116
387,10,79,0,4,2.71321
388,10,79,1,38,0.956135
389,10,79,0,14,5.97996
390,10,79,0,16,1.72139
391,10,79,1,44,7.73215
392,10,79,0,18,1.12856
393,10,79,0,20,1.40137
394,10,79,0,42,1.12167
395,10,79,2,46,4.55902
396,10,79,2,32,18.7893
397,10,79,2,40,30.1252
398,10,79,2,42,5.89481
399,10,79,3,48,3.04815
400,10,79,2,52,4.29884
401,11,76,2,36,3.01482
402,11,76,0,24,15.9952
403,11,76,0,38,4.78251
404,11,76,2,60,2.82881
405,11,76,2,58,7.72595
406,11,76,2,30,55.7045
407,11,76,2,34,79.7073
408,11,76,2,38,25.829
409,11,76,1,44,2.14352
410,11,76,0,42,1.22454
411,11,76,2,46,62.3004
412,11,76,2,32,465.436
413,11,76,2,40,284.219
414,11,76,1,36,67.0856
415,11,76,0,14,9.40022
416,11,76,2,50,1.3391
417,11,76,2,48,15.8804
418,11,76,1,40,408.052
419,11,76,1,38,69.0765
420,11,76,1,54,33.3678
421,11,76,0,8,0.903486
422,11,76,0,4,13.296
423,11,76,1,32,5.71471
424,11,76,1,30,19.0196
425,11,76,1,10,78.6606
426,11,76,1,42,36.8769
427,11,76,1,56,34.9893
428,11,76,1,52,1.86789
429,11,76,0,12,0.908848
430,11,76,1,28,9.22336
431,11,76,1,12,7.54429
432,11,76,1,6,11.5167
433,11,76,1,2,12.6489
434,11,76,1,0,8.56695
435,11,76,1,24,7.17855
436,11,76,1,20,6.37089
437,11,76,1,4,1.49384
438,11,76,1,58,4.04272
439,11,76,1,8,1.16566
440,11,76,1,14,1.21873
441,11,76,3,62,0.645064
442,11,76,3,46,1.83239
443,11,76,3,50,2.91168
444,11,76,3,0,2.24343
445,11,76,3,6,2.02024
446,11,76,3,8,0.648078
447,11,76,3,44,2.37882
448,11,76,3,22,1.22254
449,11,76,2,8,1.04333
450,11,76,3,54,4.92105
451,11,76,3,18,1.90012
452,11,76,2,10,4.42514
453,11,76,2,28,3.13513
454,11,76,3,38,1.51864
455,11,76,3,30,4.77744
456,11,76,0,30,1.97985
457,11,76,2,6,0.8718
458,11,76,2,4,6.82136
459,11,76,2,2,0.588692
460,11,76,2,22,5.424
461,11,76,3,36,6.43974
462,11,76,3,34,14.3257
463,11,76,0,28,0.651731
464,11,76,2,0,11.3893
465,11,76,2,24,20.6166
466,11,76,2,26,9.91838
467,11,76,2,42,12.9753
468,11,76,2,52,3.15554
469,11,76,1,26,1.92734
470,11,76,1,16,3.76379
471,11,76,2,44,106.286
472,11,76,0,26,1.38278
473,12,83,0,24,7.47613
474,12,83,2,60,11.6237
475,12,83,2,58,31.1456
476,12,83,2,30,25.0607
477,12,83,2,34,34.0075
478,12,83,2,38,28.7785
479,12,83,3,34,10.9343
480,12,83,2,56,8.53785
481,12,83,2,0,75.932
482,12,83,2,24,420.683
483,12,83,2,26,247.929
484,12,83,3,36,12.3268
485,12,83,3,32,5.16849
486,12,83,2,6,8.25478
487,12,83,2,4,0.791396
488,12,83,2,2,104.412
489,12,83,2,22,302.231
490,12,83,2,28,52.5663
491,12,83,3,38,12.3749
492,12,83,3,26,4.33205
493,12,83,0,44,1.01895
494,12,83,2,10,1.88568
495,12,83,2,18,13.9793
496,12,83,2,20,9.89077
497,12,83,3,42,32.0579
498,12,83,3,52,16.9462
499,12,83,3,54,15.4007
500,12,83,3,22,1.00366
501,12,83,2,14,3.97035
502,12,83,2,8,9.66838
503,12,83,3,40,4.76353
504,12,83,3,44,14.8303
505,12,83,3,56,2.53412
506,12,83,3,16,4.12486
507,12,83,3,50,1.78231
508,12,83,3,58,5.82988
509,12,83,3,0,4.34976
510,12,83,3,2,7.25214
511,12,83,1,4,2.08115
512,12,83,1,6,1.47193
513,12,83,1,28,1.01135
514,12,83,1,42,1.14205
515,12,83,1,52,1.43591
516,12,83,0,8,2.50274
517,12,83,1,32,9.47606
518,12,83,1,30,4.23471
519,12,83,1,10,1.8564
520,12,83,1,38,5.50533
521,12,83,1,54,0.784608
522,12,83,0,14,1.34486
523,12,83,2,50,2.50297
524,12,83,1,40,0.801445
525,12,83,1,36,12.1873
526,12,83,1,44,5.28505
527,12,83,0,18,1.3681
528,12,83,2,54,4.85428
529,12,83,2,46,3.58048
530,12,83,2,32,16.2749
531,12,83,2,40,3.27576
532,12,83,2,16,1.28706
533,13,70,2,36,21.2814
534,13,70,0,24,1.35669
535,13,70,0,38,1.39249
536,13,70,2,60,7.9955
537,13,70,2,58,13.0758
538,13,70,2,30,64.6482
539,13,70,2,34,81.5181
540,13,70,2,38,27.9949
541,13,70,1,44,0.802426
542,13,70,0,18,1.16068
543,13,70,2,54,3.35327
544,13,70,2,46,49.6789
545,13,70,2,32,396.019
546,13,70,2,40,215.771
547,13,70,1,36,17.4382
548,13,70,0,14,8.91213
549,13,70,0,16,2.77497
550,13,70,0,2,2.18754
551,13,70,2,50,8.09707
552,13,70,2,48,15.7731
553,13,70,1,40,195.492
554,13,70,1,38,48.5829
555,13,70,1,54,8.76637
556,13,70,0,4,1.80266
557,13,70,1,30,24.7192
558,13,70,1,10,55.9071
559,13,70,1,42,13.7375
560,13,70,1,56,3.13478
561,13,70,1,52,15.0089
562,13,70,1,28,17.8608
563,13,70,1,12,3.08974
564,13,70,1,6,11.9262
565,13,70,1,2,11.0404
566,13,70,1,0,10.186
567,13,70,1,46,3.09369
568,13,70,1,24,4.77269
569,13,70,1,20,2.29641
570,13,70,1,4,0.859949
571,13,70,1,58,1.34773
572,13,70,1,62,1.55353
573,13,70,3,50,0.904328
574,13,70,3,58,4.77702
575,13,70,3,0,2.04629
576,13,70,3,22,0.699044
577,13,70,3,42,4.90924
578,13,70,3,52,2.54847
579,13,70,3,54,0.858092
580,13,70,0,44,2.5788
581,13,70,2,18,11.706
582,13,70,2,20,2.19558
583,13,70,2,28,0.972706
584,13,70,3,38,3.93435
585,13,70,3,32,3.51493
586,13,70,3,30,2.41533
587,13,70,0,32,5.73517
588,13,70,2,2,12.4543
589,13,70,2,22,4.93279
590,13,70,3,36,11.5566
591,13,70,3,34,6.80383
592,13,70,2,0,13.281
593,13,70,2,24,8.03691
594,13,70,2,26,13.2284
595,13,70,2,42,11.2817
596,13,70,2,52,15.6548
597,13,70,2,62,1.79629
598,13,70,1,34,1.15638
599,13,70,2,44,66.2516
600,13,70,0,26,1.80084
601,14,73,2,36,1.47635
602,14,73,0,24,10.9175
603,14,73,2,60,12.7175
604,14,73,2,58,3.42488
605,14,73,2,30,18.1735
606,14,73,2,34,38.3997
607,14,73,2,38,18.3355
608,14,73,3,34,13.7148
609,14,73,0,34,0.845269
610,14,73,2,0,20.2047
611,14,73,2,24,231.184
612,14,73,2,26,170.019
613,14,73,3,36,25.8875
614,14,73,3,32,3.43141
615,14,73,3,30,6.54127
616,14,73,0,30,4.77347
617,14,73,0,48,5.50032
618,14,73,2,4,8.50343
619,14,73,2,2,68.1489
620,14,73,2,22,203.698
621,14,73,2,28,31.653
622,14,73,3,38,16.2637
623,14,73,3,18,1.72804
624,14,73,3,26,2.92608
625,14,73,2,18,11.4419
626,14,73,2,20,16.3258
627,14,73,3,42,55.7693
628,14,73,3,52,8.03407
629,14,73,2,8,11.1719
630,14,73,3,40,15.5506
631,14,73,3,44,33.896
632,14,73,3,8,3.10369
633,14,73,3,46,11.9005
634,14,73,3,50,11.4168
635,14,73,3,58,0.568593
636,14,73,3,62,0.81387
637,14,73,1,18,0.905942
638,14,73,1,4,1.39551
639,14,73,1,0,5.6462
640,14,73,0,12,2.28615
641,14,73,1,28,2.41602
642,14,73,1,12,1.01376
643,14,73,1,56,1.75598
644,14,73,1,52,3.53449
645,14,73,1,32,1.28247
646,14,73,1,30,1.17086
647,14,73,1,10,1.58148
648,14,73,1,38,5.74609
649,14,73,2,48,12.8838
650,14,73,1,40,1.75618
651,14,73,1,36,7.94296
652,14,73,1,44,3.37928
653,14,73,2,46,9.34953
654,14,73,2,32,1.77626
655,14,73,2,40,5.84505
656,14,73,2,42,1.05901
657,14,73,2,16,1.0284
658,14,73,3,48,7.62079
659,14,73,1,22,0.678666
660,14,73,2,52,6.09101
661,14,73,3,60,1.88498
662,14,73,0,26,5.02888
663,14,73,2,44,5.50216
664,15,86,0,24,1.16867
665,15,86,2,58,7.59519
666,15,86,2,30,32.5217
667,15,86,2,34,52.4578
668,15,86,2,38,9.79138
669,15,86,1,44,14.7182
670,15,86,0,20,1.00194
671,15,86,2,46,54.2836
672,15,86,2,32,145.249
673,15,86,2,40,69.9631
674,15,86,1,36,14.0946
675,15,86,0,14,1.84648
676,15,86,0,2,6.0633
677,15,86,0,62,0.596286
678,15,86,2,50,2.71223
679,15,86,2,48,10.7489
680,15,86,1,40,122.923
681,15,86,1,38,13.4527
682,15,86,1,54,7.86013
683,15,86,0,4,0.964126
684,15,86,0,0,1.11982
685,15,86,1,32,5.82737
686,15,86,1,30,21.0831
687,15,86,1,10,5.3214
688,15,86,1,42,20.433
689,15,86,1,56,8.11241
690,15,86,1,52,2.58686
691,15,86,0,12,1.23676
692,15,86,1,28,0.998543
693,15,86,1,12,9.37944
694,15,86,1,6,5.79973
695,15,86,1,2,11.2758
696,15,86,1,0,11.11
697,15,86,1,46,3.91959
698,15,86,1,24,5.53047
699,15,86,1,20,7.59578
700,15,86,1,4,0.595356
701,15,86,1,62,8.91983
702,15,86,1,8,1.86137
703,15,86,1,14,1.42986
704,15,86,3,46,0.525424
705,15,86,3,40,1.42154
706,15,86,3,42,1.2433
707,15,86,3,52,3.95443
708,15,86,2,10,0.907329
709,15,86,2,20,6.48821
710,15,86,2,28,3.9593
711,15,86,3,38,1.26715
712,15,86,3,32,5.76689
713,15,86,3,30,4.0531
714,15,86,2,6,5.9001
715,15,86,2,4,3.04878
716,15,86,2,2,13.674
717,15,86,2,22,4.70157
718,15,86,3,36,3.83223
719,15,86,2,0,2.65364
720,15,86,2,24,30.1352
721,15,86,2,26,23.3622
722,15,86,2,42,3.05297
723,15,86,2,52,11.9241
724,15,86,1,26,2.62486
725,15,86,2,16,2.90823
726,15,86,2,44,54.5671
727,15,86,0,26,2.91155
728,16,87,2,36,5.20443
729,16,87,0,24,3.52345
730,16,87,2,60,6.08198
731,16,87,2,30,28.0028
732,16,87,2,34,22.7065
733,16,87,3,34,12.4644
734,16,87,0,28,4.22191
735,16,87,2,56,8.74872
736,16,87,2,0,26.1975
737,16,87,2,24,109.983
738,16,87,2,26,67.1016
739,16,87,3,36,28.1744
740,16,87,2,6,3.14673
741,16,87,2,4,7.32912
742,16,87,2,2,47.6318
743,16,87,2,22,110.956
744,16,87,2,28,7.93646
745,16,87,3,38,7.38132
746,16,87,2,18,10.3687
747,16,87,2,20,15.614
748,16,87,3,42,9.56125
749,16,87,3,52,6.30272
750,16,87,3,54,2.60306
751,16,87,3,22,1.11781
752,16,87,2,8,12.7049
753,16,87,3,40,8.31429
754,16,87,3,44,1.98581
755,16,87,3,56,0.734079
756,16,87,3,16,1.81614
757,16,87,3,8,0.939213
758,16,87,3,58,0.685288
759,16,87,3,0,1.57211
760,16,87,1,46,2.19713
761,16,87,1,48,3.32835
762,16,87,1,56,0.934083
763,16,87,0,4,2.40269
764,16,87,1,32,0.972375
765,16,87,1,38,1.69211
766,16,87,1,54,1.34041
767,16,87,0,14,1.57545
768,16,87,0,16,4.19468
769,16,87,0,2,1.25378
770,16,87,1,40,2.94148
771,16,87,1,36,11.9114
772,16,87,1,44,6.06028
773,16,87,0,20,0.888796
774,16,87,2,32,1.60794
775,16,87,2,40,12.6244
776,16,87,2,62,2.07405
777,16,87,2,12,1.08019
778,16,87,0,26,0.855369
779,16,87,2,44,4.26085
780,17,82,2,36,2.57812
781,17,82,0,22,1.52525
782,17,82,2,60,2.82781
783,17,82,2,58,12.888
784,17,82,2,30,19.0397
785,17,82,2,34,23.1073
786,17,82,2,38,13.3013
787,17,82,1,44,6.11652
788,17,82,2,46,14.7539
789,17,82,2,32,77.121
790,17,82,2,40,57.04
791,17,82,1,36,12.0513
792,17,82,0,16,4.10436
793,17,82,2,48,5.22741
794,17,82,1,40,48.134
795,17,82,1,38,18.2783
796,17,82,1,54,6.79062
797,17,82,0,8,8.45838
798,17,82,1,32,0.989943
799,17,82,1,30,3.07329
800,17,82,1,10,16.2775
801,17,82,1,42,14.943
802,17,82,1,56,12.5414
803,17,82,0,12,2.15722
804,17,82,0,6,1.61401
805,17,82,1,28,6.94245
806,17,82,1,2,5.03044
807,17,82,1,0,2.36899
808,17,82,1,46,2.70024
809,17,82,1,24,2.16815
810,17,82,1,20,0.952765
811,17,82,1,4,2.56637
812,17,82,1,58,2.33701
813,17,82,1,62,9.60074
814,17,82,1,18,5.31587
815,17,82,3,58,2.65769
816,17,82,3,6,4.69881
817,17,82,3,44,1.49478
818,17,82,3,56,0.735536
819,17,82,3,52,8.46421
820,17,82,3,26,3.47537
821,17,82,2,18,2.01754
822,17,82,2,20,0.707687
823,17,82,2,28,3.51357
824,17,82,2,2,2.11468
825,17,82,3,36,2.55026
826,17,82,3,34,13.2297
827,17,82,0,36,1.45394
828,17,82,2,56,1.75213
829,17,82,2,0,6.21928
830,17,82,2,24,3.75689
831,17,82,2,26,1.05088
832,17,82,2,42,3.78674
833,17,82,2,52,3.15021
834,17,82,1,22,1.2459
835,17,82,3,48,1.85596
836,17,82,2,16,0.820969
837,17,82,1,34,3.02125
838,17,82,2,44,26.5367
839,17,82,0,26,6.24914
840,18,72,0,24,0.906776
841,18,72,2,30,4.92149
842,18,72,2,34,6.52237
843,18,72,2,38,7.69406
844,18,72,3,34,5.77869
845,18,72,2,56,2.26967
846,18,72,2,0,5.78741
847,18,72,2,24,30.3494
848,18,72,2,26,22.4385
849,18,72,3,36,14.3991
850,18,72,3,32,1.55137
851,18,72,2,6,3.46098
852,18,72,2,4,3.01959
853,18,72,2,2,5.56769
854,18,72,2,22,60.9461
855,18,72,2,28,13.5559
856,18,72,3,38,1.3423
857,18,72,3,18,1.26959
858,18,72,2,20,14.8582
859,18,72,3,42,2.04237
860,18,72,3,52,3.19074
861,18,72,3,54,1.86964
862,18,72,3,14,4.24961
863,18,72,2,14,1.36995
864,18,72,2,8,2.83829
865,18,72,3,40,33.0631
866,18,72,3,44,1.4128
867,18,72,3,8,5.03787
868,18,72,3,46,1.29602
869,18,72,3,4,14.8098
870,18,72,3,2,1.2333
871,18,72,1,58,1.61361
872,18,72,1,6,4.46689
873,18,72,1,12,2.00517
874,18,72,1,56,1.11284
875,18,72,1,52,1.64334
876,18,72,1,32,0.896311
877,18,72,1,10,1.20421
878,18,72,1,38,5.75579
879,18,72,0,14,1.11563
880,18,72,2,50,0.829865
881,18,72,1,44,1.23059
882,18,72,2,46,4.57802
883,18,72,2,40,1.06846
884,18,72,2,16,1.35937
885,18,72,2,52,1.91487
886,18,72,3,20,8.83471
887,18,72,2,44,0.844555
888,19,67,2,36,9.09835
889,19,67,0,24,1.13642
890,19,67,0,22,6.60773
891,19,67,2,58,5.8131
892,19,67,2,30,7.72552
893,19,67,2,34,17.9402
894,19,67,2,38,16.6309
895,19,67,1,44,2.44775
896,19,67,0,20,4.77771
897,19,67,2,46,15.1641
898,19,67,2,32,35.6321
899,19,67,2,40,32.3795
900,19,67,1,36,9.30736
901,19,67,0,14,1.49286
902,19,67,1,40,38.696
903,19,67,1,38,4.79793
904,19,67,1,54,1.34763
905,19,67,1,10,11.6716
906,19,67,1,42,3.72698
907,19,67,1,56,1.39397
908,19,67,1,52,1.08323
909,19,67,1,28,4.17958
910,19,67,1,12,9.55145
911,19,67,1,6,5.32718
912,19,67,1,2,7.61742
913,19,67,1,46,1.76208
914,19,67,1,24,1.17464
915,19,67,1,20,6.44123
916,19,67,1,4,6.07343
917,19,67,2,8,1.37017
918,19,67,3,18,1.59022
919,19,67,3,28,2.34682
920,19,67,0,44,14.3686
921,19,67,2,10,4.54302
922,19,67,2,20,0.909891
923,19,67,2,28,19.6259
924,19,67,3,30,2.4864
925,19,67,3,36,3.9821
926,19,67,2,0,6.13223
927,19,67,2,26,3.35876
928,19,67,2,52,4.18085
929,19,67,1,22,1.21451
930,19,67,2,62,4.23799
931,19,67,2,44,1.97365
932,20,65,2,36,0.935326
933,20,65,0,52,6.17252
934,20,65,2,60,2.87244
