 ,Layer,Module,Chip,Channel,Energy
0,1,78,1,38,6.7158
1,1,78,1,54,5.07365
2,1,78,1,42,6.01636
3,1,78,3,22,1.01073
4,1,78,2,24,1.13816
5,2,90,2,34,4.63668
6,2,90,2,28,46.3154
7,2,90,3,52,1.82313
8,3,89,2,34,4.93994
9,3,89,1,38,33.3404
10,3,89,1,54,9.83959
11,3,89,1,42,8.63952
12,3,89,1,56,40.0023
13,3,89,1,0,4.82921
14,4,88,2,34,7.07334
15,4,88,3,36,2.00651
16,4,88,2,6,1.3342
17,4,88,2,28,58.8904
18,4,88,3,38,13.886
19,4,88,0,44,1.10516
20,4,88,3,42,7.97324
21,4,88,3,52,34.2069
22,4,88,3,54,1.14919
23,4,88,3,44,1.83114
24,4,88,3,56,4.50585
25,4,88,3,58,3.83632
26,5,77,0,22,2.15548
27,5,77,2,34,6.11846
28,5,77,2,38,4.45091
29,5,77,1,44,5.61236
30,5,77,2,32,2.69208
31,5,77,2,40,4.66237
32,5,77,1,36,6.30135
33,5,77,0,14,9.63209
34,5,77,1,40,7.83326
35,5,77,1,38,116.317
36,5,77,1,54,15.2093
37,5,77,1,42,5.49628
38,5,77,1,56,32.6259
39,5,77,1,52,1.1338
40,5,77,1,2,2.35999
41,5,77,1,0,3.75121
42,5,77,1,24,2.00813
43,5,77,0,28,5.17417
44,5,77,2,24,1.37879
45,6,85,2,34,6.25239
46,6,85,3,32,1.26765
47,6,85,2,22,11.9266
48,6,85,2,28,95.9453
49,6,85,3,38,15.8205
50,6,85,2,20,2.98455
51,6,85,3,42,2.9542
52,6,85,3,52,40.1502
53,6,85,3,54,1.37767
54,6,85,3,44,2.96689
55,6,85,3,56,5.59788
56,6,85,2,46,0.884378
57,7,84,1,44,5.3396
58,7,84,2,40,3.90786
59,7,84,1,36,11.3583
60,7,84,0,14,5.2421
61,7,84,0,16,5.03951
62,7,84,0,60,1.994
63,7,84,2,50,1.2362
64,7,84,1,40,2.82543
65,7,84,1,38,45.1952
66,7,84,1,54,7.72117
67,7,84,1,42,12.0313
68,7,84,1,56,42.0972
69,7,84,1,52,11.6938
70,7,84,1,2,9.89239
71,7,84,1,46,8.25276
72,7,84,1,20,3.78488
73,7,84,3,4,1.5664
74,7,84,2,20,1.25667
75,7,84,2,24,6.32528
76,7,84,2,26,2.76369
77,7,84,2,52,3.51815
78,8,32,2,36,3.79795
79,8,32,2,34,0.772138
80,8,32,3,34,8.7474
81,8,32,2,26,5.47278
82,8,32,3,36,1.4983
83,8,32,2,2,2.71821
84,8,32,2,28,41.1472
85,8,32,3,38,8.88627
86,8,32,3,26,1.26796
87,8,32,2,18,2.99922
88,8,32,3,42,11.6397
89,8,32,3,52,56.24
90,8,32,3,54,5.27403
91,8,32,3,14,2.09289
92,8,32,3,40,9.67554
93,8,32,3,44,2.0503
94,8,32,3,16,1.67294
95,8,32,3,50,3.3395
96,8,32,3,2,2.16471
97,8,32,0,18,2.62923
98,9,69,2,36,3.12173
99,9,69,0,24,9.4416
100,9,69,2,34,2.38969
101,9,69,2,38,2.16772
102,9,69,1,44,9.96091
103,9,69,2,40,1.38629
104,9,69,1,36,8.43108
105,9,69,0,14,9.94468
106,9,69,2,48,0.966624
107,9,69,1,38,18.9625
108,9,69,1,54,31.9675
109,9,69,0,8,2.56716
110,9,69,1,10,5.00691
111,9,69,1,42,31.4141
112,9,69,1,56,41.4157
113,9,69,1,52,9.78649
114,9,69,1,12,2.96268
115,9,69,1,6,1.30276
116,9,69,1,2,4.98908
117,9,69,1,0,5.14164
118,9,69,1,58,10.0688
119,9,69,2,22,2.29947
120,10,79,2,60,1.16804
121,10,79,3,34,4.24384
122,10,79,2,0,0.649958
123,10,79,3,36,7.88673
124,10,79,3,32,13.7572
125,10,79,2,2,2.48134
126,10,79,2,22,5.0397
127,10,79,2,28,34.0757
128,10,79,3,38,18.6025
129,10,79,3,18,2.15005
130,10,79,3,28,4.69599
131,10,79,2,20,6.47641
132,10,79,3,42,16.9037
133,10,79,3,52,47.7079
134,10,79,3,40,2.36089
135,10,79,3,44,15.3456
136,10,79,3,4,1.14022
137,10,79,1,12,2.12335
138,10,79,0,42,0.461459
139,10,79,2,32,0.792974
140,11,76,2,36,1.2679
141,11,76,2,34,1.25216
142,11,76,2,46,0.738066
143,11,76,1,36,4.64754
144,11,76,1,40,16.5788
